,Country,Years,variable,Energy intensity-primary energy
0,China,2000.0,Energy intensity-primary energy,10.23305051
1,China,2001.0,Energy intensity-primary energy,9.833583306
2,China,2002.0,Energy intensity-primary energy,9.621842057
3,China,2003.0,Energy intensity-primary energy,9.994209983
4,China,2004.0,Energy intensity-primary energy,10.35599738
5,China,2005.0,Energy intensity-primary energy,10.28130878
6,China,2006.0,Energy intensity-primary energy,9.974489412999999
7,China,2007.0,Energy intensity-primary energy,9.446755652
8,China,2008.0,Energy intensity-primary energy,8.888790121
9,China,2009.0,Energy intensity-primary energy,8.693872841000001
10,China,2010.0,Energy intensity-primary energy,8.679178537
11,China,2011.0,Energy intensity-primary energy,8.502319501
12,China,2012.0,Energy intensity-primary energy,8.190299441
13,China,2013.0,Energy intensity-primary energy,7.851333802999999
14,China,2014.0,Energy intensity-primary energy,7.104220001
15,China,2015.0,Energy intensity-primary energy,6.690069702000001
16,China,2016.0,Energy intensity-primary energy,
17,Germany,2000.0,Energy intensity-primary energy,4.635294282
18,Germany,2001.0,Energy intensity-primary energy,4.694756909
19,Germany,2002.0,Energy intensity-primary energy,4.589391211000001
20,Germany,2003.0,Energy intensity-primary energy,4.59786268
21,Germany,2004.0,Energy intensity-primary energy,4.576951193999999
22,Germany,2005.0,Energy intensity-primary energy,4.511465998
23,Germany,2006.0,Energy intensity-primary energy,4.47122845
24,Germany,2007.0,Energy intensity-primary energy,4.099191676
25,Germany,2008.0,Energy intensity-primary energy,4.099406678
26,Germany,2009.0,Energy intensity-primary energy,4.068098366
27,Germany,2010.0,Energy intensity-primary energy,4.115335557
28,Germany,2011.0,Energy intensity-primary energy,3.773036713
29,Germany,2012.0,Energy intensity-primary energy,3.771810715
30,Germany,2013.0,Energy intensity-primary energy,3.831755977
31,Germany,2014.0,Energy intensity-primary energy,3.640399424
32,Germany,2015.0,Energy intensity-primary energy,3.603094155
33,Germany,2016.0,Energy intensity-primary energy,
34,India,2000.0,Energy intensity-primary energy,6.949594871
35,India,2001.0,Energy intensity-primary energy,6.724806376
36,India,2002.0,Energy intensity-primary energy,6.672001022999999
37,India,2003.0,Energy intensity-primary energy,6.333921729
38,India,2004.0,Energy intensity-primary energy,6.181107871
39,India,2005.0,Energy intensity-primary energy,5.877519466
40,India,2006.0,Energy intensity-primary energy,5.661849048
41,India,2007.0,Energy intensity-primary energy,5.507649299
42,India,2008.0,Energy intensity-primary energy,5.56214241
43,India,2009.0,Energy intensity-primary energy,5.6467119320000005
44,India,2010.0,Energy intensity-primary energy,5.3531792419999995
45,India,2011.0,Energy intensity-primary energy,5.232985711
46,India,2012.0,Energy intensity-primary energy,5.199643316
47,India,2013.0,Energy intensity-primary energy,4.98862544
48,India,2014.0,Energy intensity-primary energy,4.960149499
49,India,2015.0,Energy intensity-primary energy,4.730910449
50,India,2016.0,Energy intensity-primary energy,
51,United States,2000.0,Energy intensity-primary energy,7.335371396
52,United States,2001.0,Energy intensity-primary energy,7.1282168089999995
53,United States,2002.0,Energy intensity-primary energy,7.082367871000001
54,United States,2003.0,Energy intensity-primary energy,6.904967491
55,United States,2004.0,Energy intensity-primary energy,6.790206059
56,United States,2005.0,Energy intensity-primary energy,6.60173784
57,United States,2006.0,Energy intensity-primary energy,6.3694074039999995
58,United States,2007.0,Energy intensity-primary energy,6.367571447
59,United States,2008.0,Energy intensity-primary energy,6.22245169
60,United States,2009.0,Energy intensity-primary energy,6.084563271
61,United States,2010.0,Energy intensity-primary energy,6.072479221
62,United States,2011.0,Energy intensity-primary energy,5.90983675
63,United States,2012.0,Energy intensity-primary energy,5.692995246000001
64,United States,2013.0,Energy intensity-primary energy,5.676035631
65,United States,2014.0,Energy intensity-primary energy,5.621145713
66,United States,2015.0,Energy intensity-primary energy,5.40839254
67,United States,2016.0,Energy intensity-primary energy,
