Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,4.590.164.002,468.584.033,4.963.976.998,5.060.157.646,4.980.925.865,4.805.932.424,5.069.948.585,5.186.268.124,5.302.321.611,553.054.844,5.578.686.931,5.716.216.013,5.723.414.405,5.619.913.126,577.773.645,6.038.161.069,5.877.546.028,5.997.919.546,58.826.963,598.509.647,6.242.404.037,6.120.224.414,6.370.839.557,6.351.000.947,6.139.174.343,6.069.790.348,6.382.816.129,6.365.428.719,6.556.810.245,6.475.523.457,6.593.493.601,6.629.850.325,6.645.251.459,6.522.709.001,6.604.218.583,0.012496277,0.002671297,0.024455847
Mexico,9.620.753.203,9.958.989.531,1.061.654.011,1.122.308.235,1.200.471.609,117.591.543,1.285.711.714,1.322.756.645,1.346.425.194,146.127.562,1.503.562.987,1.565.909.313,166.748.445,1.810.591.201,1.899.785.806,203.628.061,210.212.142,2.157.222.715,2.249.030.835,235.396.556,247.970.751,2.562.249.605,263.249.536,269.299.748,267.753.583,2.755.674.024,2.921.432.419,2.963.959.538,2.971.178.488,3.033.158.327,3.103.496.425,3.203.447.225,3.290.853.547,3.492.988.892,3.639.700.835,0.042001835,0.02635151,0.013478047
United States,2.657.150.071,2.676.113.155,2.772.205.266,2.914.445.815,3.155.449.679,3.232.779.649,3.270.724.402,3.284.389.935,3.404.677.873,3.458.526.081,3.567.331.197,3.663.386.239,3.716.377.329,3.855.808.395,3.936.097.712,4.052.253.106,398.446.789,4.111.775.538,4.137.978.842,4.231.682.747,4.322.786.632,4.330.951.641,4.431.837.021,4.390.106.117,4.206.493.361,4.394.250.985,4.363.377.155,4.310.569.202,4.330.292.888,4.363.326.407,434.866.944,4.347.910.814,4.302.539.017,4.457.415.464,4.401.299.402,-0.012589372,0.001522729,0.162982956
Total North America,3.212.374.003,3.244.287.083,3.374.768.367,3.532.692.403,3.773.589.427,3.830.964.434,3.906.290.432,3.935.292.412,4.069.552.553,4.157.708.487,4.275.556.188,4.391.598.772,4.455.467.215,4.598.858.828,4.703.849.938,4.859.697.274,4.782.434.635,4.927.289.764,4.951.151.555,506.558.895,5.194.997.787,5.199.199.043,5.332.170.513,529.450.596,5.088.164.378,5.276.797.422,529.380.201,5.243.508.028,5.283.091.761,5.314.194.586,5.318.368.443,5.331.240.569,5.296.149.518,5.458.985.253,5.425.691.344,-0.006098919,0.00306401,0.200916851
Argentina,45.303.728,49.022.193,52.115.279,5.249.952,50.862.813,51.004.894,5.385.427,56.107.097,61.868.779,65.622.035,67.169.254,6.975.982,7.246.247,74.169.556,80.744.735,88.977.961,9.013.777.079,8.459.000.837,9.205.944.302,100.260.821,105.750.115,113.423.565,1.135.250.419,1.219.052.483,1.223.260.149,1.259.920.533,1.294.833.082,136.033.625,139.441.423,1.385.511.465,1.454.215.559,1.471.928.209,145.618.454,1.467.738.755,1.399.296.682,-0.046630964,0.018738304,0.005181686
Brazil,1.936.822.339,2.021.288.995,2.033.314.719,2.149.528.483,2.217.390.205,2.228.201.152,2.343.763.176,2.417.619.519,2.520.031.216,2.600.406.104,2.756.014.427,2.912.787.399,3.079.807.828,3.217.486.383,3.347.262.337,3.489.209.388,3.285.194.657,3.456.788.247,364.339.838,3.874.524.157,4.030.307.723,4.193.834.992,4.451.488.142,4.629.385.772,466.158.123,5.157.986.876,5.317.584.973,5.524.993.262,5.708.346.535,5.905.421.178,5.812.279.552,5.788.983.089,5.893.273.274,6.013.964.877,6.255.954.482,0.040237948,0.02651134,0.023166203
Chile,14.04,14.82,15.637,16.915,17.811,18.398,19.963,22.35,24.013,25.276,28.027,30.791,33.292,35.495,38.384,41.268,43.924,45.491,48.787,4.974.306.864,5.189.866.535,5.480.155.066,5.830.597.173,5.971.478.161,5.970.077.909,61.332.643,6.522.276.124,6.974.142.329,7.296.767.833,71.616.377,7.453.855.406,7.774.804.822,7.860.557.878,8.229.984.532,8.388.156.936,0.01921904,0.03259904,0.003106189
Colombia,2.937.466.424,3.165.293.008,3.368.026.919,3.547.325.376,3.702.080.623,3.824.570.622,4.012.350.791,3.661.309.872,4.169.108.606,4.502.428.381,4.748.347.061,4.837.112.137,4.990.634.228,5.028.314.288,4.777.472.075,467.801.804,4.820.800.287,5.028.266.394,5.211.305.277,5.383.857.432,5.589.710.848,5.906.591.452,6.052.030.201,6.137.364.043,6.318.301.213,6.466.284.078,6.615.454.614,6.771.409.307,6.982.108.652,7.274.761.912,7.502.279.788,7.444.603.435,7.508.696.805,7.827.717.438,7.518.983.238,-0.039441153,0.024625891,0.002784328
Ecuador,4.558,5.012,5.384,5.641,5.769,63.488.547,69.744.558,71.960.273,7.411.305,81.439.969,84.285.968,96.792.006,103.617.494,108.903.525,1.030.811.927,1.061.243.912,1.104.980.115,1.188.755.825,1.154.613.178,1.258.484.425,1.340.402.257,1.511.584.967,1.733.665.515,1.860.852.582,1.826.461.525,1.950.985.383,2.054.414.253,2.284.795.784,2.326.033.004,2.430.721.334,2.595.019.213,27.313.862,2.803.291,2.967.155.556,3.285.947.892,0.107440386,0.047762461,0.001216808
