Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,4924317048.00,5239094893.00,548021397.00,5836056241.00,618595265.00,6624581111.00,6831992434.00,7348641542.00,7857611557.00,8099353899.00,7956117337.00,8439991487.00,8936246164.00,9054126246.00,9326797594.00,9518029261.00,94088923.00,9090671025.00,9028668048.00,9615311746.00,9921055951.00,9946250275.00,1028827606.00,1070825968.00,1081539311.00,1061927263.00,106407444.00,1090595461.00,1114900295.00,1156237775.00,1180898057.00,1213633564.00,1222987395.00,1206116802.00,1244544483.00,1280838444.00,1249724486.00,1288171351.00,1293869245.00,1309208902.00,1322634436.00,130556942.00,135152397.00,1346220554.00,1273585736.00,1300650095.00,1360514367.00,1346847425.00,1388179051.00,1403196368.00,1399365026.00,1393667818.00,1410948202.00,1434953417.00,1421405757.00,-0.01,0.01,0.02
Mexico,1050252713.00,1111571584.00,1132470268.00,1232996553.00,1353689335.00,1444834071.00,1519983611.00,1680465957.00,1812694531.00,1996772199.00,2134191159.00,2270718536.00,2394828261.00,269844411.00,2983510074.00,325165851.00,3591403634.00,3744463175.00,3703859845.00,3875440391.00,4065132934.00,3947957554.00,4079445318.00,4108589081.00,4337943074.00,4564141535.00,4741419433.00,4823497015.00,4848054439.00,5127171824.00,504618805.00,5205132773.00,5294514662.00,5530348362.00,5599980234.00,586144171.00,5789725902.00,5978006644.00,6027918284.00,6352661472.00,6760528151.00,6974474415.00,701077296.00,7157985196.00,7101147062.00,730895117.00,7660040872.00,7705558421.00,7738308624.00,7697182235.00,7688300012.00,7785419361.00,7895340852.00,7833321661.00,7720742455.00,-0.01,0.01,0.01
United States,5243379507.00,55383038.00,5731177572.00,6079909426.00,6404961231.00,6621550766.00,6759194363.00,7106433022.00,739848754.00,7212094639.00,70361606.00,7419373886.00,7614413312.00,7648907002.00,7739115848.00,7458291801.00,7239532948.00,6937762594.00,690705806.00,7274461609.00,7256411357.00,7300463311.00,7547505986.00,7893009067.00,8081017795.00,8099330473.00,8087997296.00,8209209479.00,8380575879.00,8536585126.00,8720019381.00,9012748937.00,908122312.00,9140875642.00,9302682379.00,9513879198.00,9289452493.00,9423901794.00,9453503322.00,9639671419.00,9643731384.00,9565836227.00,9699645751.00,9460071171.00,8992401795.00,9297258881.00,9208836192.00,8968776503.00,9209548018.00,9305416796.00,9214900449.00,92017799.00,9233052485.00,9560291901.00,9464880404.00,-0.01,0.00,0.16
Total North America,5840836483.00,6173370448.00,6392445996.00,6786814705.00,7158925429.00,7428492284.00,7594391967.00,8009343772.00,8365518148.00,8221707249.00,804519145.00,8490444888.00,8747520755.00,8824164038.00,8970146614.00,8735260578.00,8539562542.00,8221276014.00,818031085.00,8623536823.00,8655030245.00,8689884094.00,8984278123.00,9374693943.00,9596351413.00,961767189.00,9626213679.00,9782154641.00,9980281618.00,1020554008.00,1040553624.00,1074689578.00,1083366198.00,1090002728.00,1110722489.00,1138086181.00,1111814957.00,1130987381.00,113501644.00,1158414647.00,1164241864.00,1156885309.00,1175224702.00,1152209024.00,1097610224.00,1132880409.00,1133535465.00,1108617977.00,1137155793.00,1147833139.00,1138309548.00,1137398965.00,1143353477.00,1177857748.00,1165836041.00,-0.01,0.00,0.20
Argentina,1127632035.00,1165107753.00,1199725304.00,1241233915.00,1283912396.00,1212762252.00,1288378183.00,1311442229.00,1367910352.00,1427536126.00,1391643571.00,1467458766.00,1533067686.00,1564007886.00,1658750857.00,165721831.00,1597686773.00,1636029608.00,1709184684.00,170621337.00,1664835163.00,1837627039.00,192056626.00,1946309171.00,1866938918.00,1847543731.00,1868739457.00,2010106036.00,2074925875.00,2113357748.00,2198852255.00,2354999268.00,2341980694.00,2427772529.00,2374160472.00,2470051807.00,2442824838.00,2325704485.00,2495103102.00,262810444.00,2802798.00,2944828436.00,3074790946.00,3127156373.00,3066804066.00,3227137493.00,3289075815.00,338287153.00,3524576544.00,3506861477.00,3585803292.00,3576195298.00,3566919874.00,3540866279.00,3462769372.00,-0.02,0.01,0.01
Brazil,0.97,1057604646.00,1095653143.00,1252840021.00,1367831549.00,158581664.00,1734259098.00,1997879748.00,2382002142.00,2602140444.00,2749246067.00,3019283714.00,3226588976.00,3556023677.00,3849862497.00,392791043.00,3829311694.00,4019244408.00,409874969.00,4400627743.00,4685955694.00,4996394972.00,5145734872.00,5342259319.00,5449779582.00,5359907432.00,5565708435.00,5825753708.00,6086154841.00,6395972193.00,6715675505.00,7090972202.00,7496064001.00,7769721293.00,790875791.00,8042012273.00,7884190467.00,8070208849.00,8212964289.00,8614360295.00,8858006246.00,9079154731.00,9634607628.00,1005961618.00,9978517885.00,10981271.00,1148270458.00,1168826134.00,1213048278.00,1240146583.00,1223342184.00,1191851961.00,120637012.00,121343117.00,1240343434.00,0.02,0.02,0.02
Chile,0.26,0.28,0.28,0.28,0.31,0.32,0.35,0.36,0.35,0.34,0.31,0.32,0.34,0.36,0.37,0.38,0.39,0.36,0.37,0.38,0.39,0.41,0.43,0.48,0.53,0.55,0.62,0.69,0.73,0.76,0.82,0.87,1.00,1001298747.00,1044292149.00,1104103691.00,1111520715.00,1150410649.00,1143801721.00,1202009759.00,1249035388.00,1333732346.00,1362657868.00,1350649531.00,1322719152.00,132850943.00,1444337333.00,1476471854.00,1491113297.00,1462468985.00,1495262464.00,1568793154.00,1579807877.00,1660677183.00,1655823236.00,0.00,0.02,0.00
Colombia,0.32,0.35,0.37,0.39,0.40,0.43,0.42,0.48,0.48,0.53,0.54,0.57,0.58,0.62,0.66,0.67,0.68,0.72,0.75,0.77,0.80,0.83,0.90,0.90,0.95,0.89,0.92,0.96,1062360771.00,1140613347.00,1158313796.00,1188031136.00,1222771688.00,1229895571.00,1137617475.00,1108613763.00,1090801699.00,1086754151.00,1125048236.00,1144893656.00,1147210086.00,1286052091.00,1290540582.00,1393966742.00,1329596055.00,1423127707.00,1488176116.00,1592518754.00,1614539288.00,1702195142.00,1712034092.00,1806922539.00,1839198318.00,1852364392.00,192423813.00,0.04,0.03,0.00
Ecuador,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.08,0.10,0.11,0.11,0.14,0.15,0.17,0.17,0.18,0.22,0.23,0.23,0.27,0.28,0.29,0.32,0.32,0.33,0.36,0.34,0.38,0.43,0.43,0.39,0.37,0.38,0.37,0.38,0.41,0.43,0.45,0.48,0.51,0.50,0.55,0.58,0.62,0.64,0.67,0.67,0.66,0.69,0.73,0.74,0.02,0.04,0.00
