Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,3,3,5,6,7,9,10,12,14,17,21,26,33,95,221,497,766,1210,1843,2517,2661,2913,3100,3310,0.067741935,0.575015294,0.005644406
Mexico,10,11,12,13,14,15,16,16,16,16,16,19,19,25,29,39,60,82,116,173,388.6,673.74,2555,4.440.208,0.737850489,0.632539622,0.007571703
United States,13.9,14.6,15.2,16.6,18.5,21.9,28,73,111,190,295,455,753,1188,2040,3382,7328,13045,17651,23442,34716,43115,53183.5,62297.9,0.171376461,0.53072859,0.106234035
Total North America,26.9,28.6,32.2,35.6,39.5,45.9,54,101,141,223,332,500,805,1308,2290,3918,8154,14337,19610,26132,37765.6,46701.74,58838.5,70.048.108,0.19051485,0.535983574,0.119450145
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,15.721,26.846,84.091,1.104.212,2.077.979,2.484.875,0.195813336,---,0.004237355
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,221,576,1125,1809,2137,2.647.779,0.239016846,---,0.004515148
Honduras,0,0,0,1,1.6,1.8,2,2.1,2.4,2.7,2.9,3.2,3.2,3.5,3.7,4.5,5.2,5.2,5.156,393.156,414.156,453.786,484.786,510.8,0.053660791,0.652113991,0.000871046
Other S. & Cent. America,0,0,0,1,2.7,5,7.3,9.3,11.3,13.6,19.4,26,35.4,58.7,112.2,163,314.9,429.3,684.361,963.523,1.190.411,1.668.677,2.419.409,3.107.036,0.284212797,0.525705118,0.0052983
Total S. & Cent. America,0,0,0,2,4.3,6.8,9.3,11.4,13.7,16.3,22.3,29.2,38.6,62.2,116.9,168.5,324.1,454.5,926.238,1.959.525,2.813.658,5.035.675,7.119.174,8750.49,0.229143999,0.684939185,0.014921849
Austria,1.7,2.2,2.9,3.7,5,7,9,23,27,21,22.4,24.2,30.1,48.9,88.8,174.1,337.5,626,785.246,937.098,1.096.016,1.268.971,1.437.641,1.577.641,0.097381752,0.472001984,0.002690286
Belgium,0,0,0,0,0,0,1,1,1,2,2,20,62,386,1006.9,1979.1,2646.5,2902.4,3015.2,3131.7,3327,3616.2,3986.5,4530.5,0.136460554,0.516421761,0.007725674
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,154,1013,1020,1026,1029,1028,1035.57,1.032.679,1.065.064,0.031360181,---,0.00181621
Czech Republic,0,0,0,0,0.1,0.1,0.2,0.3,0.4,1,1,4,40,465,1727,1913,2022,2064,2067.4,2074.9,2067.9,2069.5,2.075.072,2.070.472,-0.002216791,0.484216714,0.00353069
Denmark,0,0,0,0,1,1,2,2,2,3,3,3,3,5,7,17,402,571,607,782.108,850.953,906.35,998,1079,0.081162325,0.787314294,0.001839974
France,4,6,8,9,7,7,8,9,11,13,15,26,80,277,1044,3003.6,4358.8,5277.3,6.034.417,7.137.517,7.702.081,8.610.437,9.617.025,10.571.025,0.099199077,0.614340253,0.018026332
Germany,28,42,54,70,114,195,260,435,1105,2056,2899,4170,6120,10567,18007,25917,34077,36711,37900,39224,40679,42293,45181,48962,0.08368562,0.221294614,0.083492876
Greece,0,0,0,0,0,1,1,1,1,1,5,9,12,46,202,612,1536,2579,2596,2604,2604,2605.53,2651.57,2762.57,0.041861991,0.715663789,0.004710896
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,12,35,89,172,235,344,726,1277,0.758953168,0.93238502,0.002177615
Italy,16,17,18,18,19,20,22,26,31,34,45,110,483,1264,3596.7,13135.7,16789.7,18190.1,18600.07,18907.07,19289.07,19.688.363,20.113.659,20906.07,0.039396661,0.451959141,0.035650258
Netherlands,0.7,1,1,5,13,21,26,46,50,51,53,54,59,69,90,149,369,746,1048,1515,2049,2903,4522,6725,0.487173817,0.543291111,0.011467865
