Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-2018,2019
Canada,,,26,83,126,139,214,270,351,444,677,1423,1840,2336,3282,3967,5265,6201,7801,9694,11214,11973,12403,12816,13413,0.046582397,0.185572088,0.021539919
Mexico,,,2,2,2,17,17,18,18,18,18,101,101,101,425,519,601,1815,2122,2569,3271,4051,4198.98,4.875.375,6.590.875,0.351870369,0.473562854,0.010584277
United States,,,1611,2141,2445,2377,3864,4417,5995,6456,8706,11329,16515,24651,34296,39135,45676,59075,59973,64232,72573.02,81286,87597,94417.4,103584.2,0.097088037,0.143725356,0.166345727
Total North America,,,1639,2226,2573,2533,4095,4705,6364,6918,9401,12853,18456,27088,38003,43621,51542,67091,69896,76495,87058.02,97310,104198.98,112.108.775,123.588.075,0.102394304,0.152620307,0.198469923
Argentina,,,9,14,14,14.1,24.8,25.8,25.7,27.8,27.8,27.8,27.8,27.8,27.8,27.8,59.6,137,190,215.2,215.214,215.292,257.202,750.092,1.609.409,1.145.615.471,0.390295041,0.002584548
Brazil,,,4,19,22,22,24,22,24,24,29,237,247,398,602,927,1426,1894,2202,4888,7633,10124,12294,14.832.793,15.363.988,0.035812203,0.435932372,0.024673008
Chile,,,0,0,0,0,2,2,2,2,2,2,20,20,163,163,184,202,301,736,910,1039,1305,1524,1.620.074,0.063040682,0.542394604,0.002601675
Costa Rica,,,23,27,35,42.5,62.3,62.3,68.6,68.6,68.6,68.6,69.9,69.9,119.6,119.6,132.8,148.1,148.1,196.5,278.14,319.14,378,407.77,410.92,0.007724943,0.192871904,0.000659896
Uruguay,,,0,0,0,0,0,0,0,0,0,0,0,14.6,30.6,40.6,43.6,52.6,59.4,481.3,856.766,1211.5,1.515.656,1.515.656,1.560.656,0.029690114,0.590833686,0.002506255
Other S. & Cent. America,,,6,6,7,11.8,20.8,24.1,32.2,74,65.7,75.6,80.5,82.9,163.9,210.9,351.2,637.6,718.6,964.4,1421.8,1596.83,1639.83,1.847.644,2.067.494,0.118989372,0.363974894,0.003320186
Total S. & Cent. America,,,42,66,78,90.4,133.9,136.2,152.5,196.4,193.1,411,445.2,613.2,1106.9,1488.9,2197.2,3071.3,3619.1,7481.4,11314.92,14.505.762,17.389.688,20.877.955,22.632.541,0.084040127,0.423012061,0.036345567
Austria,,,20,30,42,50,67,109,322,581,825.219,968.269,991.159,991.974,1.000.985,1.015.828,1.105.966,1337.15,1.674.538,2.110.275,2.488.726,2.729.996,2.886.698,3.132.713,3159,0.008391129,0.121865761,0.005073034
Belgium,,,9,10,11,14,26,31,67,96,167,212,276,324,608,912,1069,1370,1780,1944,2176,2370,2796.5,3260.7,3779.7,0.159168277,0.259727422,0.006069815
Bulgaria,,,0,0,0,0,0,0,0,1,8,27,30,114,333,488,541,677,683,699,699,699,698.39,698.92,698.92,0,0.198815258,0.001122395
Denmark,,,1116,1420,1738,2390,2497.2,2894.5,3119.9,3123.7,3127.8,3135.7,3124.2,3162.9,3482.1,3801.8,3952,4161.9,4819.1,4886.6,5.076.976,5.245.563,5489.64,6.120.624,6.116.624,-0.000653528,0.068245382,0.009822678
Finland,,,12,18,39,38,39,43,52,82,82,86,110,143,147,197,199,257,447,627,1005,1565,2044,2041,2281.55,0.117858893,0.304519865,0.003663938
France,,,13,21,25,38,66,138,218,358,690,1412,2223,3403,4582,5912,6.758.016,7.607.496,8.155.961,9.201.425,10298.18,11.566.564,13.499.357,14.900.146,16.260.146,0.091274273,0.159131899,0.026112146
Germany,,,2089,2877,4435,6095,8754,12001,14381,16419,18248,20474,22116,22794,25732,26903,28712,30979,33477,38614,44580,49435,55580,58843,60822,0.033631868,0.099480234,0.097673968
Greece,,,29,38.1,105.8,226,270,287,371,470,491,749,846,1022,1171,1298,1640,1753,1809,1978,2091,2370,2624,2.877.495,3.547.495,0.232841412,0.109063387,0.005696917
Ireland,,,53,64,74,116.5,122.9,134.8,210.3,336.4,493.3,676.5,740.5,942.3,1251.3,1390.4,1584.6,1704.4,2008.2,2283.3,2.451.151,2.785.951,3.317.951,3.676.134,4172.1,0.134915104,0.145830067,0.00669997
Italy,,,103,197,277,363,664,780,874,1127,1635,1902,2702,3525,4879,5794,6918,8102,8542,8683,9137,9384,9.736.578,10.230.246,10758,0.051587616,0.112430008,0.017276258
Netherlands,,,329,379,433,447,486,672,905,1075,1224,1561,1749,2149,2222,2237,2316,2433,2713,2865,3391,4257,4202,4393,4462.5,0.015820624,0.074119198,0.007166323
Norway,,,5,8,13,13,13,97,97,152,265,284,348,395,423,425,512,705,818,863,867,883,1207,1710.3,2444.3,0.429164474,0.157837256,0.003925298
Poland,,,2,2,2,4,19,32,35,40,121,172,306,526,709,1108,1800,2564,3429,3836,4886,5747,5.759.357,5.766.078,5917,0.026174117,0.270543319,0.009502102
Portugal,,,39,51,61,83,125,190,268,553,1064,1681,2201,2857,3326,3796,4.256.215,4.411.552,4.609.949,4.856.556,4.936.838,5.124.103,5.124.105,5.172.359,5.233.359,0.011793458,0.061152599,0.008404244
Romania,,,0,0,0,0,0,0,0,0,1,1,3,5,15,389,988,1822,2773,3244,3130,3025,3.029.798,3.032.258,3.039.883,0.002514628,0.897927483,0.004881744
Spain,,,512,723,1408,2206,3397,4891,5945,8317,9918,11722,14820,16555,19176,20693,21529,22789,22958,22925,22943,22990,23.124.479,23.405.055,25.553.055,0.091775046,0.035232858,0.041035616
