,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Japan,0.33,0.453,0.637,0.86,1.132,1.422,1.708,1.919,2.144,2.627,3.62,4.91,6.63,13.6,23.34,34.15,42.1,49.5,56.2,63
1,United States,0.139,0.168,0.212,0.275,0.376,0.479,0.624,0.831,1.169,1.616,2.04,3.96,7.33,12.08,18.32,25.67,41,51.8,62.5,75.9
2,Germany,0.089,0.206,0.324,0.473,1.139,2.072,2.918,4.195,6.153,9.959,17.37,24.86,32.46,35.77,38.25,39.71,40.7,42.5,45.5,49.2
3,Australien,0.029,0.034,0.039,0.046,0.052,0.061,0.07,0.083,0.105,0.188,0.57,1.38,2.42,3.23,4.09,5.11,5.9,7.2,11,14.6
4,Italien,0.019,0.02,0.022,0.026,0.031,0.038,0.05,0.12,0.458,1.181,3.5,12.8,16.45,18.07,18.61,18.91,19.3,19.7,20.1,20.8
5,Schweiz,0.015,0.018,0.02,0.021,0.023,0.027,0.03,0.036,0.048,0.074,0.11,0.21,0.44,0.76,1.06,1.39,1.7,1.9,2.1,0
6,Mexiko,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.025,0.03,0.04,0.05,0.11,0.11,0.17,0.3,0.5,4.1,0
7,Frankreich,0.011,0.014,0.017,0.021,0.026,0.026,0.036,0.075,0.179,0.369,1.2,2.97,4.09,4.73,5.7,6.59,7.2,8.1,9,9.9
8,Niederlande,0.008,0.016,0.022,0.04,0.043,0.045,0.048,0.049,0.053,0.064,0.08,0.14,0.36,0.72,1.12,1.56,2.1,2.9,4.4,0
9,Kanada,0.007,0.009,0.01,0.012,0.014,0.017,0.02,0.026,0.033,0.095,0.28,0.56,0.77,1.21,1.9,2.58,2.7,2.9,3.1,0
10,Norwegen,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.009,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.07,0
11,Österreich,0.005,0.006,0.01,0.017,0.021,0.024,0.026,0.029,0.032,0.053,0.1,0.19,0.36,0.63,0.79,0.94,1.1,1.3,1.4,0
12,Südkorea,0.004,0.005,0.01,0.012,0.014,0.019,0.042,0.087,0.363,0.53,0.66,0.74,1.03,1.48,2.48,3.49,4.5,5.8,8.1,0
13,Schweden,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.008,0.009,0.01,0.02,0.02,0.04,0.08,0.13,0.21,0.27,0.43,0
14,Finnland,0.003,0.003,0.003,0.003,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0.13,0
15,Spanien,0.002,0.004,0.007,0.012,0.024,0.049,0.148,0.705,3.463,3.523,3.92,4.26,4.54,4.64,4.65,5.43,5.2,5.4,5.7,0
16,Großbritannien,0.002,0.003,0.004,0.006,0.008,0.011,0.014,0.018,0.024,0.031,0.09,0.91,1.83,3.38,5.65,9.5,11.5,12.8,13.1,13.3
17,Dänemark,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.005,0.01,0.02,0.41,0.56,0.61,0.79,0.88,0.95,1.36,0
18,Portugal,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.015,0.056,0.099,0.14,0.17,0.23,0.28,0.42,0.47,0.52,0.59,0.67,0
19,Israel,0,0,0,0,0.001,0.001,0.001,0.002,0.003,0.024,0.07,0.19,0.24,0.48,0.68,0.89,0.88,0.95,1.36,0
20,Andere,0.41,0.465,0.571,0.761,0.746,0.825,0.962,1.114,1.391,1.523,2.583,4.037,10.18,14.38,13.31,21.62,28.6,47.2,66.5,0
21,China,0,0,0,0,0,0,0.08,0.1,0.14,0.3,0.8,3.3,7,19.72,30.38,43.53,78.1,131.1,175.4,204.7
22,Thailand,0,0,0,0,0.011,0.024,0.03,0.033,0.033,0.043,0.05,0.24,0.39,0.82,1.3,1.42,2.4,3.1,3.4,0
23,Türkei,0,0,0,0,0.002,0.002,0.002,0.003,0.004,0.005,0.01,0.01,0.01,0.02,0.06,0.27,1.2,4.2,7.1,0
24,Belgien,0,0,0,0,0,0,0,0.024,0.108,0.649,1.07,2.09,2.77,3.01,3.15,3.25,3.6,3.9,4.3,0
25,Malaysia,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0.03,0.07,0.2,0.23,0.31,0.36,86,0
26,Südafrika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,2.3,2.4,0
27,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.8,2.4,0
28,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8
29,Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2
