Country,End use,Indicator,2000,2005,2010,2015,2016,2017,2018
Australia,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)      ,100,99,95,91,89,88,87
Austria,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)        ,100,100,79,70,67,71,67
Belgium,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)        ,100,107,116,100,99,96,94
Canada,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)         ,100,89,78,75,74,76,77
Czech Republic,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015) ,100,90,85,71,71,72,68
Denmark,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)        ,100,100,101,84,84,84,82
Finland,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)        ,100,103,114,99,100,102,102
France,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)         ,100,101,104,93,92,89,88
Germany,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)        ,100,97,91,81,83,78,71
Greece,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)         ,100,121,118,135,150,142,134
Hungary,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)        ,100,95,82,53,51,48,44
Ireland,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)        ,100,96,80,59,59,58,57
Italy,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)          ,100,122,134,122,121,122,125
Japan,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)          ,100,93,86,75,76,75,74
Korea,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)          ,100,89,77,66,66,64,62
Luxembourg,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)     ,100,83,79,65,63,70,72
Mexico,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)         ,100,94,89,84,81,77,75
Netherlands,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)    ,100,102,105,84,81,82,79
New Zealand,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)    ,100,98,90,85,81,80,74
Poland,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)         ,100,112,120,89,93,84,80
Portugal,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)       ,100,144,114,122,115,112,113
Slovak Republic,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015),100,73,68,40,39,41,37
Spain,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)          ,100,104,107,110,114,109,106
Sweden,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)         ,100,92,85,68,68,67,64
Switzerland,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)    ,100,101,93,77,77,75,73
Turkey,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)         ,100,157,262,241,238,242,210
United Kingdom,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015) ,100,76,68,60,63,61,61
United States,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)  ,100,90,86,81,79,76,76
Brazil,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)   ,100,93,87,99,99,99,99
Chile,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015)    ,100,110,124,115,126,138,127
Lithuania,Total Services,Per value added energy intensity (index 2000 - MJ/USD PPP 2015),100,89,86,70,70,71,70
Morocco,Total Services,Per value added energy intensity (index 2010 - MJ/USD PPP 2015)  ,..,..,100,92,91,91,89
Belarus,Total Services,Per value added energy intensity (index 2015 - MJ/USD PPP 2015)  ,..,..,..,100,105,103,103
