Country,Mode/vehicle type,Indicator,2000,2005,2010,2015,2016,2017,2018
Australia,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)      ,100,99,97,94,93,92,94
Australia,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)        ,100,98,97,93,92,92,93
Australia,Freight trucks,Tonne-kilometres energy intensity (index 2000)             ,100,92,93,94,98,96,96
Australia,Freight trucks,Vehicle-kilometres energy intensity (index 2000)           ,100,100,99,98,97,95,95
Austria,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)        ,100,100,97,95,95,95,97
Austria,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)          ,100,97,92,90,89,89,91
Austria,Freight trucks,Tonne-kilometres energy intensity (index 2000)               ,100,95,92,93,93,89,89
Austria,Freight trucks,Vehicle-kilometres energy intensity (index 2000)             ,100,100,95,95,95,95,96
Belgium,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)        ,100,100,98,102,104,104,105
Belgium,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)          ,100,98,97,98,98,98,99
Belgium,Freight trucks,Tonne-kilometres energy intensity (index 2000)               ,100,118,112,100,105,101,104
Belgium,Freight trucks,Vehicle-kilometres energy intensity (index 2000)             ,100,96,94,91,90,91,86
Canada,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)         ,100,97,94,91,91,90,90
Canada,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)           ,100,97,94,92,92,92,91
Canada,Freight trucks,Tonne-kilometres energy intensity (index 2000)                ,100,98,110,92,86,87,91
Canada,Freight trucks,Vehicle-kilometres energy intensity (index 2000)              ,100,96,89,82,79,79,77
Czech Republic,Cars/light trucks,Passenger-kilometres energy intensity (index 2000) ,100,125,141,133,133,134,127
Czech Republic,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)   ,100,113,118,105,104,89,85
Czech Republic,Freight trucks,Tonne-kilometres energy intensity (index 2000)        ,100,138,114,114,139,168,181
Czech Republic,Freight trucks,Vehicle-kilometres energy intensity (index 2000)      ,100,138,151,..,..,..,..
Denmark,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)        ,100,102,101,98,95,94,94
Denmark,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)          ,100,98,97,90,87,87,88
Denmark,Freight trucks,Tonne-kilometres energy intensity (index 2000)               ,100,94,116,94,82,85,96
Denmark,Freight trucks,Vehicle-kilometres energy intensity (index 2000)             ,100,83,82,84,84,85,88
Finland,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)        ,100,99,95,91,91,90,89
Finland,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)          ,100,103,104,104,103,103,102
Finland,Freight trucks,Tonne-kilometres energy intensity (index 2000)               ,100,107,121,148,134,128,134
Finland,Freight trucks,Vehicle-kilometres energy intensity (index 2000)             ,100,98,96,88,91,93,94
France,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)         ,100,97,97,92,90,91,90
France,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)           ,100,94,92,86,84,84,83
France,Freight trucks,Tonne-kilometres energy intensity (index 2000)                ,100,97,98,106,104,100,96
France,Freight trucks,Vehicle-kilometres energy intensity (index 2000)              ,100,94,87,79,78,78,78
Germany,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)        ,100,95,91,89,89,91,93
Germany,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)          ,100,95,90,87,87,89,89
Germany,Freight trucks,Tonne-kilometres energy intensity (index 2000)               ,100,84,81,81,81,80,72
Germany,Freight trucks,Vehicle-kilometres energy intensity (index 2000)             ,100,96,96,89,88,101,91
Greece,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)         ,100,92,76,57,56,53,51
Greece,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)           ,100,98,80,74,73,70,73
Greece,Freight trucks,Tonne-kilometres energy intensity (index 2000)                ,100,98,118,143,122,105,104
Greece,Freight trucks,Vehicle-kilometres energy intensity (index 2000)              ,..,..,..,..,..,..,..
Hungary,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)        ,100,123,117,121,122,118,119
Hungary,Cars/light trucks,Vehicle-kilometres energy intensity (index 2000)          ,100,76,77,..,..,..,..
Hungary,Freight trucks,Tonne-kilometres energy intensity (index 2000)               ,100,104,81,70,66,71,80
Hungary,Freight trucks,Vehicle-kilometres energy intensity (index 2000)             ,..,..,..,..,..,..,..
Ireland,Cars/light trucks,Passenger-kilometres energy intensity (index 2000)        ,100,96,94,92,..,..,..
